date,temperature_2m,relative_humidity_2m,vapour_pressure_deficit,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm
2020-01-01 00:00:00,-6.148,86.06369,0.054023087,0.382,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 01:00:00,-5.548,86.12916,0.05628833,0.382,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 02:00:00,-4.998,86.520546,0.057033032,0.382,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 03:00:00,-4.298,86.594215,0.059800625,0.381,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 04:00:00,-3.698,86.986664,0.060725898,0.381,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 05:00:00,-3.148,87.042435,0.063002765,0.381,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 06:00:00,-2.698,87.08782,0.06492004,0.381,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 07:00:00,-2.098,87.47501,0.065835714,0.381,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 08:00:00,-1.948,87.16293,0.06822756,0.381,0.375,0.316,-0.29799998,0.302,2.152
2020-01-01 09:00:00,-1.698,86.21594,0.07462278,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 10:00:00,-1.298,86.90342,0.07301739,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 11:00:00,-0.698,88.91625,0.064570785,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 12:00:00,-0.098000005,90.28513,0.05912465,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 13:00:00,0.402,90.98568,0.056886315,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 14:00:00,0.652,91.003365,0.05780989,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 15:00:00,0.752,91.342445,0.05603397,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 16:00:00,0.802,91.34584,0.056214273,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 17:00:00,0.852,90.35711,0.062862635,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 18:00:00,0.902,89.70501,0.06735581,0.381,0.375,0.316,-0.24800001,0.302,2.152
2020-01-01 19:00:00,0.602,87.09388,0.082630634,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-01 20:00:00,0.45200002,87.72016,0.07777351,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-01 21:00:00,0.45200002,88.36551,0.07368648,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-01 22:00:00,0.352,89.6608,0.06501126,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-01 23:00:00,0.302,89.65676,0.06480163,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-02 00:00:00,0.202,89.64868,0.06438416,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-02 01:00:00,0.102,89.6406,0.063969076,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-02 02:00:00,-0.098000005,90.28513,0.05912465,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-02 03:00:00,-0.098000005,90.28513,0.05912465,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-02 04:00:00,0.0020000003,90.62448,0.057475388,0.381,0.375,0.316,-0.198,0.302,2.102
2020-01-02 05:00:00,0.15200001,89.973854,0.062136114,0.381,0.375,0.316,-0.148,0.302,2.102
