temperature_mean,temperature_max,temperature_min,precipitation,snowfall,wind_speed_max,wind_gusts_max,et0,dew_point,humidity_mean,humidity_min,soil_moisture_0_7,soil_moisture_7_28,soil_moisture_28_100,soil_temperature_0_7,soil_temperature_7_28,soil_temperature_28_100,solar_radiation,cloud_cover,pressure,month,drought_score,drought,sukhovey_score,sukhovey,early_snow_score,early_snow
0.7,1.6,-0.2,0.7,0.28,30.3,56.2,0.41,-1.3,87,85,0.482,0.467,0.444,-1.5,-2.1,0.5,1.27,100,978.4,1,1,0,3,1,0,0
-7.0,0.1,-20.8,1.1,0.77,28.1,53.3,0.34,-9.9,80,64,0.478,0.466,0.444,-3.8,-1.9,0.5,1.52,97,977.0,1,0,0,1,0,0,0
-14.7,-7.7,-21.3,3.1,2.17,19.9,35.6,0.2,-18.2,74,64,0.476,0.464,0.444,-9.9,-4.3,0.5,1.32,100,993.6,1,0,0,0,0,0,0
-6.4,-4.5,-8.3,0.6,0.42,23.5,40.3,0.35,-9.0,82,72,0.476,0.462,0.444,-6.4,-5.1,0.5,2.38,100,984.6,1,1,0,2,0,0,0
-4.2,-1.9,-9.3,0.5,0.35,22.9,41.4,0.32,-6.3,86,79,0.477,0.46,0.444,-4.5,-3.3,0.4,1.46,100,977.1,1,1,0,2,0,0,0
-10.3,-9.0,-11.6,0.6,0.42,21.0,35.6,0.23,-13.1,79,77,0.479,0.459,0.444,-7.4,-3.9,0.4,1.77,97,987.4,1,1,0,1,0,0,0
-4.1,-0.5,-11.1,2.0,1.33,18.7,35.6,0.2,-5.5,90,81,0.479,0.458,0.444,-5.0,-4.3,0.4,1.7,100,983.7,1,0,0,0,0,0,0
-11.0,-1.7,-22.4,2.0,1.4,32.1,58.7,0.22,-13.0,85,78,0.481,0.456,0.445,-7.6,-3.2,0.3,2.88,93,970.2,1,0,0,2,0,0,0
-22.0,-18.5,-24.6,0.0,0.0,24.9,43.9,0.17,-25.3,74,69,0.481,0.455,0.445,-16.4,-9.4,0.3,3.87,81,986.1,1,1,0,2,0,0,0
-15.1,-9.1,-21.7,4.8,3.36,30.9,55.8,0.2,-17.5,82,72,0.481,0.454,0.445,-12.6,-10.3,0.2,1.98,100,961.6,1,0,0,2,0,0,0
-24.6,-21.9,-25.7,0.0,0.0,25.7,45.4,0.15,-27.8,74,70,0.481,0.453,0.444,-14.8,-9.8,0.1,4.07,41,976.0,1,1,0,2,0,0,0
-18.4,-10.6,-25.5,0.0,0.0,30.8,51.1,0.23,-21.6,76,70,0.481,0.452,0.444,-12.5,-10.1,0.1,2.89,77,984.5,1,1,0,3,1,0,0
-6.5,-5.1,-10.4,1.6,1.12,29.8,53.3,0.28,-8.1,88,86,0.481,0.451,0.444,-6.8,-7.2,0.0,2.75,98,972.3,1,0,0,1,0,0,0
-17.0,-5.5,-24.0,1.0,0.7,31.9,59.0,0.19,-19.7,79,71,0.478,0.45,0.441,-12.6,-6.3,-0.0,3.74,78,971.6,1,1,0,3,1,0,0
-20.7,-17.2,-22.7,0.0,0.0,24.2,43.6,0.22,-24.4,72,67,0.478,0.45,0.44,-16.1,-11.2,-0.1,4.32,0,997.6,1,1,0,2,0,0,0
-18.9,-13.9,-21.5,0.0,0.0,15.1,26.6,0.24,-22.8,71,64,0.478,0.449,0.44,-13.0,-10.8,-0.2,4.06,35,1006.9,1,1,0,1,0,0,0
-17.0,-11.7,-19.7,0.0,0.0,18.4,32.8,0.31,-21.4,69,55,0.478,0.448,0.44,-11.7,-9.5,-0.2,4.49,1,1008.0,1,1,0,1,0,0,0
-15.7,-13.4,-17.2,0.0,0.0,19.2,33.1,0.39,-21.6,61,53,0.478,0.448,0.44,-10.7,-8.4,-0.3,3.42,92,1002.3,1,1,0,1,0,0,0
-16.2,-13.9,-19.2,0.0,0.0,12.5,24.5,0.2,-19.5,76,65,0.478,0.447,0.439,-10.0,-7.6,-0.3,4.19,81,1000.3,1,1,0,1,0,0,0
-18.3,-14.3,-21.1,0.0,0.0,11.5,20.9,0.14,-20.3,84,81,0.476,0.445,0.439,-12.5,-7.7,-0.4,3.19,99,1009.5,1,1,0,1,0,0,0
-14.7,-10.3,-18.4,0.0,0.0,18.8,36.4,0.29,-18.0,76,67,0.475,0.443,0.44,-9.9,-7.6,-0.4,4.06,92,1010.2,1,1,0,1,0,0,0
-11.0,-7.6,-13.7,0.0,0.0,22.8,39.2,0.38,-14.6,75,62,0.475,0.443,0.439,-8.6,-6.6,-0.4,3.39,97,1003.3,1,1,0,1,0,0,0
-14.5,-11.0,-18.1,0.0,0.0,10.8,15.8,0.23,-18.8,70,59,0.475,0.442,0.439,-8.5,-6.3,-0.5,3.15,93,1000.3,1,1,0,1,0,0,0
-14.6,-9.5,-17.5,0.0,0.0,9.7,15.1,0.27,-18.2,75,58,0.475,0.442,0.439,-8.4,-6.3,-0.5,4.97,49,996.2,1,1,0,1,0,0,0
-10.6,-6.4,-17.8,1.4,0.98,11.1,17.6,0.21,-12.5,86,82,0.475,0.442,0.438,-8.4,-6.2,-0.5,2.72,98,988.8,1,0,0,0,0,0,0
-7.8,-6.1,-10.3,9.2,6.44,18.0,33.5,0.16,-8.8,93,90,0.475,0.441,0.438,-5.9,-4.7,-0.5,1.71,100,983.3,1,0,0,0,0,0,0
-11.9,-10.3,-14.4,1.9,1.33,19.2,32.8,0.19,-13.4,89,84,0.475,0.441,0.438,-7.9,-4.4,-0.6,2.97,100,992.8,1,0,0,0,0,0,0
-13.4,-11.8,-14.5,0.6,0.42,13.2,22.7,0.17,-14.8,89,85,0.475,0.441,0.439,-9.3,-5.1,-0.6,3.8,100,998.3,1,1,0,1,0,0,0
-14.1,-12.7,-15.0,0.0,0.0,11.8,22.3,0.18,-15.9,87,83,0.471,0.442,0.436,-10.5,-5.7,-0.6,3.97,97,998.3,1,1,0,1,0,0,0
-16.2,-12.7,-20.7,0.0,0.0,11.6,19.8,0.23,-18.3,83,78,0.471,0.442,0.436,-10.7,-6.1,-0.6,5.38,83,993.9,1,1,0,1,0,0,0
-17.8,-14.0,-20.9,0.2,0.14,7.9,15.5,0.16,-20.0,83,79,0.471,0.442,0.435,-11.5,-7.0,-0.7,3.89,92,986.2,1,1,0,1,0,0,0
-17.2,-13.3,-19.5,0.6,0.42,8.2,14.0,0.18,-19.3,83,80,0.472,0.441,0.434,-10.5,-7.2,-0.7,4.12,97,986.0,2,1,0,1,0,0,0
-15.9,-12.4,-19.6,1.3,0.91,13.0,23.4,0.2,-18.0,84,79,0.472,0.441,0.434,-10.1,-7.1,-0.7,4.25,99,988.1,2,0,0,0,0,0,0
-7.6,-3.6,-13.5,2.7,1.89,15.7,27.4,0.29,-9.1,89,86,0.472,0.441,0.434,-6.4,-6.1,-0.8,3.81,99,979.7,2,0,0,0,0,0,0
-4.5,-1.8,-7.6,0.3,0.21,27.5,48.6,0.42,-6.3,87,83,0.473,0.441,0.433,-4.6,-4.0,-0.8,5.51,94,978.5,2,1,0,2,0,0,0
-2.7,0.3,-6.2,0.0,0.0,33.0,58.0,0.4,-4.1,90,86,0.473,0.441,0.434,-3.7,-3.2,-0.8,4.84,100,981.0,2,1,0,3,1,0,0
-1.8,-0.7,-4.5,0.0,0.0,29.4,51.5,0.49,-3.5,89,83,0.472,0.441,0.433,-3.3,-2.5,-0.8,5.73,100,980.1,2,1,0,2,0,0,0
-3.9,-0.3,-6.4,0.8,0.56,32.9,53.3,0.45,-6.0,86,82,0.472,0.44,0.433,-3.6,-2.5,-0.8,3.58,93,969.2,2,1,0,3,1,0,0
-6.1,0.1,-7.8,2.2,1.54,35.3,63.4,0.39,-7.9,87,84,0.472,0.44,0.432,-4.5,-2.6,-0.8,5.36,99,968.1,2,0,0,2,0,0,0
-1.6,1.7,-6.3,3.9,2.17,38.5,65.5,0.55,-3.7,86,79,0.478,0.44,0.432,-3.6,-2.5,-0.8,4.46,96,967.7,2,0,0,2,0,0,0
-14.3,-6.7,-18.9,0.1,0.07,29.9,54.4,0.3,-17.2,79,70,0.479,0.442,0.433,-8.4,-3.1,-0.8,4.34,78,975.7,2,1,0,2,0,0,0
-19.0,-15.9,-22.3,0.0,0.0,23.0,43.2,0.29,-22.3,75,71,0.48,0.441,0.432,-10.6,-5.9,-0.8,6.97,38,987.1,2,1,0,2,0,0,0
-17.5,-13.8,-21.7,0.0,0.0,19.2,33.5,0.32,-20.5,78,70,0.481,0.442,0.432,-10.7,-7.2,-0.9,7.85,29,1000.1,2,1,0,1,0,0,0
-12.5,-5.8,-17.1,0.8,0.56,34.5,62.3,0.51,-16.7,71,60,0.481,0.441,0.432,-8.7,-7.0,-0.9,6.48,91,994.0,2,1,0,3,1,0,0
-13.8,-4.5,-24.2,1.5,1.05,31.7,58.3,0.33,-16.9,77,69,0.481,0.44,0.431,-8.3,-5.6,-1.0,6.5,95,984.0,2,0,0,2,0,0,0
-28.2,-24.5,-29.6,0.0,0.0,21.2,41.0,0.17,-32.5,67,61,0.482,0.44,0.431,-13.9,-8.2,-1.0,8.23,79,996.9,2,1,0,2,0,0,0
-25.8,-22.0,-29.7,0.0,0.0,19.7,37.1,0.2,-29.4,72,66,0.482,0.44,0.431,-14.1,-10.2,-1.0,8.15,70,1008.7,2,1,0,1,0,0,0
-23.3,-18.0,-27.5,0.0,0.0,14.0,23.8,0.27,-27.0,72,63,0.483,0.44,0.431,-13.6,-10.2,-1.1,8.97,15,1014.6,2,1,0,1,0,0,0
-23.8,-16.9,-29.6,0.0,0.0,8.9,15.1,0.3,-27.7,71,59,0.483,0.439,0.431,-13.4,-10.0,-1.2,9.22,3,1010.9,2,1,0,1,0,0,0
-23.8,-17.3,-28.4,0.0,0.0,13.3,24.5,0.29,-27.7,71,59,0.483,0.438,0.429,-13.2,-10.0,-1.3,9.45,13,1011.7,2,1,0,1,0,0,0
-22.6,-16.7,-26.9,0.0,0.0,14.0,28.4,0.36,-28.4,60,41,0.483,0.438,0.429,-13.2,-10.0,-1.3,9.8,0,1013.0,2,1,0,1,0,0,0
-22.2,-15.8,-26.9,0.0,0.0,13.4,27.4,0.39,-28.8,56,40,0.483,0.438,0.429,-12.9,-9.9,-1.4,10.09,0,1008.8,2,1,0,1,0,0,0
-21.8,-13.4,-28.2,0.0,0.0,10.2,18.7,0.44,-28.3,58,35,0.483,0.438,0.429,-12.4,-9.6,-1.5,10.22,0,1004.6,2,2,0,1,0,0,0
-22.9,-15.4,-29.5,0.0,0.0,8.7,18.0,0.36,-28.1,63,46,0.483,0.438,0.428,-13.3,-9.6,-1.9,10.4,0,1004.8,2,1,0,1,0,0,0
-18.6,-10.7,-27.6,0.0,0.0,19.2,31.3,0.47,-23.2,68,47,0.483,0.438,0.429,-11.8,-9.8,-2.4,9.6,47,1007.5,2,1,0,1,0,0,0
-10.5,-7.9,-13.1,0.0,0.0,18.0,35.3,0.48,-13.6,78,71,0.483,0.438,0.428,-7.4,-8.0,-2.7,6.92,68,1005.9,2,1,0,1,0,0,0
-5.7,-2.6,-9.7,0.3,0.21,13.2,27.4,0.42,-7.4,88,84,0.483,0.438,0.428,-5.1,-6.2,-2.9,5.07,65,1003.9,2,1,0,1,0,0,0
-5.4,-3.1,-7.5,0.0,0.0,14.6,27.7,0.78,-9.4,74,65,0.483,0.438,0.428,-4.3,-4.6,-2.9,9.01,95,1005.4,2,1,0,1,0,0,0
-6.2,-1.7,-10.3,0.0,0.0,15.3,29.2,1.1,-13.2,58,44,0.483,0.438,0.427,-5.0,-4.0,-2.7,11.2,36,1004.4,2,1,0,1,0,0,0
-5.3,-1.3,-9.4,0.0,0.0,15.9,26.6,0.94,-11.9,60,54,0.483,0.438,0.427,-4.8,-3.9,-2.6,6.65,79,1002.3,2,1,0,1,0,0,0
-6.5,-4.6,-9.0,0.5,0.35,18.9,33.1,0.71,-10.5,74,60,0.482,0.438,0.427,-4.9,-3.6,-2.5,8.29,92,996.6,3,1,0,1,0,0,0
-7.3,-4.8,-11.4,0.9,0.63,19.6,36.7,0.4,-9.0,88,78,0.481,0.437,0.426,-5.5,-3.6,-2.4,5.36,95,1000.9,3,1,0,1,0,0,0
-9.9,-6.9,-13.1,0.0,0.0,25.6,46.1,0.44,-11.6,88,78,0.477,0.436,0.425,-7.3,-4.5,-2.3,9.27,91,998.4,3,1,0,2,0,0,0
-6.4,-3.7,-8.0,0.0,0.0,21.9,39.2,0.53,-8.5,86,81,0.479,0.436,0.425,-5.7,-4.4,-2.3,6.72,99,992.7,3,1,0,1,0,0,0
-7.3,-5.2,-10.1,0.0,0.0,22.8,44.6,0.54,-9.5,84,80,0.479,0.436,0.425,-6.2,-4.1,-2.3,7.91,96,990.0,3,1,0,2,0,0,0
-10.0,-6.9,-12.8,0.2,0.14,14.8,27.7,0.49,-12.2,84,74,0.479,0.437,0.426,-7.8,-4.6,-2.2,8.04,91,987.5,3,1,0,1,0,0,0
-9.8,-6.7,-14.8,0.2,0.14,9.4,22.0,0.45,-11.9,85,71,0.48,0.439,0.427,-7.6,-4.8,-2.2,6.65,97,987.9,3,1,0,1,0,0,0
-13.2,-7.7,-18.2,0.0,0.0,17.9,31.0,0.57,-15.8,81,69,0.479,0.44,0.428,-9.9,-5.8,-2.3,11.93,69,989.8,3,1,0,1,0,0,0
-4.7,-0.2,-12.7,0.4,0.28,16.8,30.2,0.77,-7.3,82,71,0.478,0.44,0.427,-5.7,-5.7,-2.4,9.18,92,982.2,3,1,0,1,0,0,0
-5.9,-3.5,-9.7,1.9,1.33,19.6,38.2,0.64,-8.5,83,65,0.476,0.44,0.427,-5.9,-4.0,-2.3,9.67,94,981.6,3,0,0,0,0,0,0
-10.2,-7.0,-13.5,0.5,0.35,23.4,43.9,0.53,-12.7,82,75,0.472,0.442,0.43,-8.2,-4.6,-2.2,10.21,94,988.5,3,1,0,2,0,0,0
-12.3,-8.3,-16.0,0.0,0.0,9.7,20.9,0.56,-15.2,80,68,0.474,0.447,0.435,-9.5,-5.4,-2.3,10.0,89,989.0,3,1,0,1,0,0,0
-13.9,-9.7,-17.1,0.0,0.0,14.8,29.2,0.47,-16.3,83,74,0.473,0.448,0.436,-10.7,-6.3,-2.3,9.34,96,989.4,3,1,0,1,0,0,0
